business_id,name,city,stars,review_count,categories,latitude,longitude,halal,price
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,Philadelphia,4.0,80,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries",39.9555052,-75.1555641,False,1
bBDDEgkFA1Otx9Lfe7BZUQ,Sonic Drive-In,Nashville,1.5,10,"Ice Cream & Frozen Yogurt, Fast Food, Burgers, Restaurants, Food",36.2081024,-86.7681696,False,1
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,Philadelphia,4.0,245,"Sushi Bars, Restaurants, Japanese",39.953949,-75.1432262,False,2
ROeacJQwBeh05Rqg7F6TCg,BAP,Philadelphia,4.5,205,"Korean, Restaurants",39.943223,-75.162568,False,1
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,Philadelphia,3.5,65,"Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants",39.9625821,-75.1356571,False,2
0qNpTGTcqPwOLi2hADx4Xw,Charlie's Market,Tampa,3.0,9,"Food, Grocery, Convenience Stores",28.0103596,-82.4300416,False,1
ppFCk9aQkM338Rgwpl2F5A,Wawa,Philadelphia,3.0,56,"Restaurants, Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores",39.954573,-75.1948936,False,1
oaboaRBUgGjbo2kfUIKDLQ,Mike's Ice Cream,Nashville,4.5,593,"Ice Cream & Frozen Yogurt, Coffee & Tea, Restaurants, Sandwiches, Food",36.1626492,-86.7759733,False,2
RK6-cJ9hj53RzOlCBmpT-g,Impasto,Tampa,5.0,5,"Restaurants, Italian, Food Trucks, Food",27.890814,-82.5023464,False,?
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,Philadelphia,3.0,137,"Restaurants, Chinese",39.963077709,-75.1680274529,False,1
zFvqulgAYOpSG2t1v8AZ-w,The Cake Drip,Tampa,4.0,40,"Desserts, Do-It-Yourself Food, Food, Patisserie/Cake Shop",27.935753,-82.4764699,False,?
X_E7U2lVNEwbH_gpOBmAHQ,Cerveza Jack's,Nashville,4.0,182,"Nightlife, Restaurants, Bars, Mexican",36.162799,-86.776016,False,2
G4lRmwDHdvhZAhmtlsYYBw,Wendy's,Nashville,1.5,37,"Burgers, Restaurants, Fast Food",36.112075744,-86.7674462724,False,1
ORL4JE6tz3rJxVqkdKfegA,Gaylord Opryland Resort & Convention Center,Nashville,3.0,1639,"Venues & Event Spaces, Performing Arts, Arts & Entertainment, Hotels & Travel, Food, Convenience Stores, American (New), Beauty & Spas, Restaurants, Museums, Event Planning & Services, Hotels, Cinema, Resorts, Day Spas",36.2115923083,-86.6943191727,False,3
QjV4v7q_pt7tt3K1US7IHg,PDQ Temple Terrace,Tampa,3.0,5,"Fast Food, Sandwiches, Chicken Shop, Restaurants",28.0548882706,-82.3995484,False,?
FTFtoylMzkrzqNVSl-bkKw,Giant Food Stores,Philadelphia,4.0,19,"Grocery, Food",39.9565280024,-75.178013742,False,?
O1oZpbZNDMH_gz8DhsZCdA,Wendy's,Philadelphia,1.5,15,"Burgers, Restaurants, Fast Food",40.012141,-75.1150148,False,1
2dlQX5sP9X6Dlm1MmNOlSw,ReAnimator Coffee,Philadelphia,4.0,105,"Food, Coffee & Tea",39.9764555,-75.1270254,False,1
